"Site","Site_Category","DepthZone"
"120 Reef","MPA","Inner"
"120 Reef","MPA","Middle"
"3 Palms East","PVR-Adj","Inner"
"3 Palms East","PVR-Adj","Middle"
"3 Palms East","PVR-Adj","Outer"
"3 Palms East","PVR-Adj","Deep"
"3 Palms West","PVR-Adj","Inner"
"3 Palms West","PVR-Adj","Middle"
"3 Palms West","PVR-Adj","Outer"
"3 Palms West","PVR-Adj","Deep"
"Abalone Cove Kelp East","Non-MPA","Middle"
"Abalone Cove Kelp West","MPA","Inner"
"Abalone Cove Kelp West","MPA","Middle"
"Abalone Cove Kelp West","MPA","Outer"
"Albondigas","Non-MPA","Inner"
"Albondigas","Non-MPA","Middle"
"Albondigas","Non-MPA","Outer"
"Bunker Point","PVR-Adj","Inner"
"Bunker Point","PVR-Adj","Middle"
"Bunker Point","PVR-Adj","Outer"
"Bunker Point","PVR-Adj","Deep"
"Burial Grounds","PVR-Adj","Inner"
"Burial Grounds","PVR-Adj","Middle"
"Burial Grounds","PVR-Adj","Outer"
"Burial Grounds","PVR-Adj","Deep"
"Cairns","Non-MPA","Inner"
"Cairns","Non-MPA","Middle"
"Cairns","Non-MPA","Outer"
"Cape Point","PVR-Adj","Inner"
"Cape Point","PVR-Adj","Middle"
"Cape Point","PVR-Adj","Outer"
"Cape Point","PVR-Adj","Deep"
"Christmas Tree Cove","Non-MPA","Inner"
"Christmas Tree Cove","Non-MPA","Middle"
"Christmas Tree Cove","Non-MPA","Outer"
"Flat Rock North","Non-MPA","Inner"
"Flat Rock North","Non-MPA","Middle"
"Flat Rock North","Non-MPA","Outer"
"Flat Rock South","Non-MPA","Inner"
"Flat Rock South","Non-MPA","Middle"
"Flat Rock South","Non-MPA","Outer"
"Golden Cove","Non-MPA","Inner"
"Hawthorne Reef","PVR-Control","Inner"
"Hawthorne Reef","PVR-Control","Middle"
"Hawthorne Reef","PVR-Control","Outer"
"Hawthorne Reef","PVR-Control","Deep"
"Honeymoon Cove","PVR-Control","Inner"
"Honeymoon Cove","PVR-Control","Middle"
"Honeymoon Cove","PVR-Control","Outer"
"Honeymoon Cove","PVR-Control","Deep"
"KOU Rock","PVR-Adj","Inner"
"KOU Rock","PVR-Adj","Middle"
"KOU Rock","PVR-Adj",NA
"KOU Rock","PVR-Adj","Outer"
"KOU Rock","PVR-Adj","Deep"
"Long Point East","MPA","Inner"
"Long Point East","MPA","Middle"
"Long Point East","MPA","Outer"
"Long Point East","MPA","Deep"
"Long Point West","MPA","Inner"
"Long Point West","MPA","Middle"
"Lunada Bay","PVR-Control","Inner"
"Lunada Bay","PVR-Control","Middle"
"Lunada Bay","PVR-Control","Outer"
"Lunada Bay","PVR-Control","Deep"
"Marguerite Central","Non-MPA","Inner"
"Marguerite Central","Non-MPA","Middle"
"Marguerite East","Non-MPA","Inner"
"Marguerite East","Non-MPA","Middle"
"Marguerite West","Non-MPA","Inner"
"Marguerite West","Non-MPA","Middle"
"Marguerite West","Non-MPA","Outer"
"Old 18th","PVR-Adj","Inner"
"Old 18th","PVR-Adj","Middle"
"Old 18th","PVR-Adj","Outer"
"Old 18th","PVR-Adj","Deep"
"Old Marineland","MPA","Inner"
"Point Fermin","Non-MPA","Inner"
"Point Fermin","Non-MPA","Middle"
"Point Fermin","Non-MPA","Outer"
"Point Vicente West","MPA","Inner"
"Point Vicente West","MPA","Middle"
"Point Vicente West","MPA","Outer"
"Point Vicente West","MPA","Deep"
"Portuguese Bend","Non-MPA","Inner"
"Portuguese Bend","Non-MPA","Middle"
"Portuguese Bend","Non-MPA","Outer"
"Portuguese Bend","Non-MPA","Deep"
"Portuguese Point","MPA","Inner"
"Portuguese Point","MPA","Middle"
"Portuguese Point","MPA","Outer"
"PVR 2A","PVR-Adj","ARM"
"PVR 2B","PVR-Adj","ARM"
"PVR 2C","PVR-Adj","ARM"
"PVR 4A","PVR-Adj","ARM"
"PVR 4B","PVR-Adj","ARM"
"PVR 4C","PVR-Adj","ARM"
"PVR 5A","PVR-Adj","ARM"
"PVR 5B","PVR-Adj","ARM"
"PVR 5C","PVR-Adj","ARM"
"PVR 6B","PVR-Adj","ARM"
"PVR 6C","PVR-Adj","ARM"
"PVR 6D","PVR-Adj","ARM"
"PVR 7A","PVR-Adj","ARM"
"PVR 7B","PVR-Adj","ARM"
"PVR 7C","PVR-Adj","ARM"
"PVR 8A","PVR-Adj","ARM"
"PVR 8B","PVR-Adj","ARM"
"PVR 8C","PVR-Adj","ARM"
"Resort Point","PVR-Control","Deep"
"Resort Point","PVR-Control","Inner"
"Resort Point","PVR-Control","Middle"
"Resort Point","PVR-Control","Outer"
"Ridges North","PVR-Control","Inner"
"Ridges North","PVR-Control","Middle"
"Ridges North","PVR-Control","Outer"
"Ridges North","PVR-Control","Deep"
"Ridges South","Non-MPA","Inner"
"Ridges South","Non-MPA","Middle"
"Ridges South","Non-MPA","Outer"
"Ridges South","Non-MPA","Deep"
"Rocky Point North","PVR-Control","Inner"
"Rocky Point North","PVR-Control","Middle"
"Rocky Point North","PVR-Control","Outer"
"Rocky Point North","PVR-Control","Deep"
"Rocky Point South","PVR-Control","Inner"
"Rocky Point South","PVR-Control","Middle"
"Rocky Point South","PVR-Control","Outer"
"Rocky Point South","PVR-Control","Deep"
"Segovia","Non-MPA","Inner"
"Segovia","Non-MPA","Middle"
"Segovia","Non-MPA","Outer"
"Segovia","Non-MPA","Deep"
"Underwater Arch","Non-MPA","Inner"
"Underwater Arch","Non-MPA","Middle"
"Underwater Arch","Non-MPA","Outer"
"Whites Point","Non-MPA","Inner"
"Whites Point","Non-MPA","Middle"
"Whites Point","Non-MPA","Outer"
