"Site_Category","Species","stdev_Pre-Wasting","stdev_Wasting Event","stdev_Post-Wasting Recovery","Site_Mean_Pre-Wasting","Site_Mean_Wasting Event","Site_Mean_Post-Wasting Recovery","stdev_Difference","mean_Difference"
"MPA","Mesocentrotus franciscanus",121.082717349905,29.3199188648893,26.1557637076863,85.5397727272727,25.3125,16.2549351381839,-94.9269536422184,-69.2848375890888
"MPA","Patiria miniata",48.3916948737708,20.0934067196199,12.4621809755927,37.9924242424242,6.92307692307692,4.99153976311336,-35.929513898178,-33.0008844793109
"MPA","Pisaster giganteus",16.0049482788408,0.324085133679028,0.833980744051286,17.4810606060606,0.0480769230769231,0.267907501410039,-15.1709675347895,-17.2131531046506
"MPA","Pisaster ochraceus",9.81206887086998,1.52346440188345,0.262352903276011,6.76136363636364,0.232371794871795,0.0423011844331642,-9.54971596759397,-6.71906245193047
"MPA","Strongylocentrotus purpuratus",372.636514275352,220.625443493103,38.3479189079972,289.725378787879,62.0192307692308,21.003948110547,-334.288595367355,-268.721430677332
"PVR-Adj","Mesocentrotus franciscanus",21.5529359032399,6.6480094912384,42.8950941321877,15.5464480874317,3.2843137254902,13.4667852906287,21.3421582289478,-2.07966279680296
"PVR-Adj","Patiria miniata",11.4731762997767,3.31789984015481,7.50406702314576,9.97267759562842,1.26225490196078,3.46085409252669,-3.9691092766309,-6.51182350310173
"PVR-Adj","Pisaster giganteus",7.5908443914178,0.200991200797839,1.87460637201648,6.69398907103825,0.0245098039215687,0.345492289442471,-5.71623801940131,-6.34849678159578
"PVR-Adj","Pisaster ochraceus",1.05544839178048,0,0.210253902637375,0.46448087431694,0,0.0177935943060502,-0.845194489143101,-0.44668728001089
"PVR-Adj","Strongylocentrotus purpuratus",107.549418492129,6.75293292428218,18.3576459637464,38.1967213114754,2.8921568627451,6.0008896797153,-89.1917725283827,-32.1958316317602
"Non-MPA","Mesocentrotus franciscanus",68.037339813327,68.2842792640893,30.6378015239469,50.3787878787879,28.7617370892019,17.2583713850837,-37.3995382893801,-33.1204164937042
"Non-MPA","Patiria miniata",39.0096804115771,9.16462102534148,5.1239485633827,30.4469696969697,2.69953051643193,1.95776255707763,-33.8857318481944,-28.4892071398921
"Non-MPA","Pisaster giganteus",14.4891704913886,0.3660060346394,0.98124767297748,15.3106060606061,0.0586854460093897,0.312024353120244,-13.5079228184112,-14.9985817074858
"Non-MPA","Pisaster ochraceus",7.23016348750746,0.32216178873212,0.579030037727629,4.81818181818182,0.0645539906103287,0.117960426179605,-6.65113344977984,-4.70022139200221
"Non-MPA","Strongylocentrotus purpuratus",927.610423814621,332.448477320248,187.517985762478,531.825757575758,124.677230046948,72.3934550989346,-740.092438052143,-459.432302476823
"PVR-Control","Mesocentrotus franciscanus",54.1576740976989,25.2223539326378,19.2204391851415,35.4545454545455,17.1685606060606,14.9138537271449,-34.9372349125574,-20.5406917274006
"PVR-Control","Patiria miniata",41.1394940087393,12.6272017910234,13.1337055469688,27.3484848484849,5.52083333333333,4.75035161744025,-28.0057884617705,-22.5981332310446
"PVR-Control","Pisaster giganteus",9.56851315085095,0.37154211177378,0.664067260058551,7.8030303030303,0.0662878787878788,0.233825597749649,-8.9044458907924,-7.56920470528066
"PVR-Control","Pisaster ochraceus",5.40213467705614,0,0.170361325571664,1.46103896103897,0,0.017580872011252,-5.23177335148448,-1.44345808902771
"PVR-Control","Strongylocentrotus purpuratus",432.220949340056,170.969640747573,46.5451866111426,190.919913419913,44.4034090909091,19.2299578059071,-385.675762728913,-171.689955614006
